drug_name_1,drug_name_2,severity,interaction_type,clinical_effect,mechanism,management,confidence_score
Theophylline,Ciprofloxacin,critical,pharmacokinetic,"Increased theophylline levels","CYP inhibition","Monitor theophylline levels",88
St Johns Wort,Warfarin,critical,pharmacokinetic,"Decreased warfarin effect","CYP induction","Avoid St Johns Wort",90
St Johns Wort,SSRIs,critical,pharmacodynamic,"Serotonin syndrome risk","Herbal interaction","Avoid combination",87
Potassium,ACE Inhibitors,critical,pharmacodynamic,"Severe hyperkalemia","Electrolyte imbalance","Avoid supplements",93
Potassium,Spironolactone,critical,pharmacodynamic,"Life-threatening hyperkalemia","Potassium sparing","Never combine",94
Nitrates,Sildenafil,critical,pharmacodynamic,"Life-threatening hypotension","Vasodilation","Absolutely contraindicated",96
Nitrates,Tadalafil,critical,pharmacodynamic,"Severe hypotension risk","Vasodilation","Absolutely contraindicated",95
MAOIs,Tyramine Foods,critical,pharmacodynamic,"Hypertensive crisis","Monoamine interaction","Avoid aged cheese wine cured meats",95
Amoxicillin,Methotrexate,critical,pharmacokinetic,"Increases methotrexate toxicity","Renal excretion","Monitor levels",82
Ciprofloxacin,Theophylline,critical,pharmacokinetic,"Severe theophylline toxicity","CYP inhibition","Reduce theophylline dose",88
Metronidazole,Alcohol,critical,pharmacodynamic,"Disulfiram reaction","Aldehyde dehydrogenase","Avoid alcohol completely",94
Rifampin,Warfarin,critical,pharmacokinetic,"Significantly decreases INR","CYP induction","May need warfarin dose increase",88
Rifampin,Oral Contraceptives,critical,pharmacokinetic,"Reduces contraceptive efficacy","CYP induction","Use alternative birth control",91
Valproate,Lamotrigine,moderate,pharmacokinetic,"Increases lamotrigine levels","Metabolism inhibition","Reduce lamotrigine dose",78
Phenytoin,Warfarin,critical,pharmacokinetic,"Decreases warfarin effect","CYP induction","Monitor INR closely",85
Carbamazepine,Warfarin,critical,pharmacokinetic,"Significantly decreases INR","CYP induction","May need higher warfarin dose",86
Clopidogrel,Omeprazole,moderate,pharmacokinetic,"Reduces antiplatelet effect","CYP2C19 inhibition","Use alternative PPI",82
Heparin,Aspirin,critical,pharmacodynamic,"Significant bleeding risk","Anticoagulant plus antiplatelet","Monitor closely",89
Apixaban,Aspirin,critical,pharmacodynamic,"Increased bleeding risk","DOAC plus antiplatelet","Use with caution",87
Glipizide,Fluconazole,moderate,pharmacokinetic,"Increases hypoglycemia risk","CYP inhibition","Monitor glucose",77
Tenofovir,NSAIDs,moderate,pharmacodynamic,"Increased kidney injury risk","Renal toxicity","Monitor renal function",75
Furosemide,Aminoglycosides,critical,pharmacodynamic,"Increased ototoxicity","Additive toxicity","Avoid combination",85
Spironolactone,ACE Inhibitors,critical,pharmacodynamic,"Severe hyperkalemia","Additive effect","Avoid combination",90
Diltiazem,Simvastatin,moderate,pharmacokinetic,"Increased statin levels","CYP3A4 inhibition","Limit simvastatin to 20mg",78
Verapamil,Metoprolol,moderate,pharmacodynamic,"Severe bradycardia","Additive cardiac depression","Monitor heart rate",80
